Go to Documentation,key,,,,,,,,,,,
,axes.axis-values,Axis values,参数轴数值,補完軸の座標,,Valeur de l'axe,Achsen Werte,Valores de eje,As waarden,,參數軸數值,Mga halaga ng aksis
,axes.create,New axis,新建参数轴,新しい補完軸,,Nouvel axe,Neue Achse,Nuevo eje,Nieuwe as,,新增參數軸,Bagong aksis
,axes.delete-axis,Delete axis,删除参数轴,補完軸を削除,,Supprimer l'axe,Achse entfernen,Eliminar eje,Verwijder as,,刪除參數軸,Burahin ang aksis
,axes.mapping-graph,Mapping graph,映射图,マッピンググラフ,,Graphique du mapping,Mapping-Grafik,,Mapping grafiek,,對應圖,Graph ng pagmamapa
,axes.mapping-list,Mapping list,映射列表,マッピングリスト,,Liste du mapping,Mapping-Liste,,Mapping lijst,,對應清單,Listahan ng pagmamapa
,axes.mapping.source,Source,源,ソース,,-,-,-,-,,源,Pinagmulan
,axes.mapping.user,User,用户,ユーザー,,Utilisateur,Benutzer,Usuario,-,,使用者,Gumagamit
,axes.mapping.values.elidable,Elidable,可忽略,名称の省略,,-,Übersehbar,,-,,可忽略,Maaasahan
,axes.mapping.values.linked,Linked,已链接,スタイルリンク,,Lié,Verknüpft,Enlazado,-,,已連結,Naka-link
,axes.mapping.values.max,Max,最大值,最大値,,-,-,-,-,,最大值,Pinakamataas
,axes.mapping.values.min,Min,最小值,最小値,,-,-,-,-,,最小值,Minuto
,axes.mapping.values.name,Name,名称,名称,,Nom,-,Nombre,Naam,,名稱,Pangalan
,axes.mapping.values.value,Value,数值,値,,Valeur,Wert,Valores,Waarde,,數值,Halaga
,axes.names,Names,命名,補完軸名,,Noms,Namen,Nombres,Namen,,命名,Mga Pangalan
,axes.names.name,Name,名称,名称,,Nom,-,Nombre,Naam,,名稱,Pangalan
,axes.names.ot-tag,OT tag,OT 标签,OTタグ,,-,OT-Tag,-,-,,OT 標籤,Tag na OT
,axes.names.ui-name,UI name,显示名称,UI名,,-,UI Name,-,-,,顯示名稱,Pangalan ng UI
,axes.new,New axis...,新建参数轴…,補完軸を追加…,,Nouvel axe…,Neue Achse...,Nuevo eje...,Nieuwe as...,,新增參數軸…,Bagong aksis...
,axes.preset,Axis presets,参数轴预设,補完軸プリセット,,Préréglage d'axe,Achsen Voreinstellungen,Preajustes del eje,Standaard assen,,參數軸預設,Mga preset ng axis
,axes.preset.italic,Italic,斜体,-,,Italique,Kursiv,Itálica,Cursief,,斜體,Italiko
,axes.preset.optical-size,Optical size,视觉尺寸,-,,Corps optique,Optische Größe,Peso Óptico,Optische grootte,,視覺尺寸,Sukat ng optika
,axes.preset.slant,Slant,倾斜角度,-,,Penché,,Inclinado,Hellingshoek,,傾斜角度,Pahilig
,axes.preset.weight,Weight,字重,-,,Graisse,Gewicht,Peso,Gewicht,,字重,Timbang
,axes.preset.width,Width,字宽,-,,Largeur,Weite,Ancho,Breedte,,字寬,Lapad
,axes.range,Range,范围,補完軸の範囲,,-,Bereich,Rango,Bereik,,範圍,Saklaw
,axes.range.axis-type,Axis type,参数轴类型,補完軸の種類,,Type d'axe,Achsen Art,Tipo de Eje,As type,,參數軸類型,Uri ng aksis
,axes.range.axis-type.continuous,Continuous,连续,連続,,Continue,Fortlaufend,Continuo,Doorlopend,,連續,Tuloy-tuloy
,axes.range.axis-type.discrete,Discrete,离散,分離,,Discret,Unterbrochen,Discreto,Discreet,,離散,Diskreto
,axes.range.default,Default,默认值,デフォルト値,,Défaut,-,Predeterminado,Standaard,,預設值,Default
,axes.range.maxium,Maximum,最大值,最大値,,Maximum,-,Máximo,Maximum,,最大值,Pinakamataas
,axes.range.minimum,Minimum,最小值,最小値,,Minimum,-,Mínimo,Minimum,,最小值,Pinakamababa
,axes.range.values,Values,可选值,値,,Valeurs,Werte,Valores,Waarden,,可選值,Mga Halaga
,axes.reorder,Reorder axes,将参数轴重新排序,補完軸の並び替え,,Réordonner les axes,Achsen umsortieren,Re ordenar ejes,,,重新排序參數軸,Muling ayusin ang mga axe
,axes.title,Axes,参数轴,補完軸,,Axes,Achsen,Ejes,Assen,,參數軸,Mga Palakol
,axes.undo.add,add axis %0,添加参数轴 %0,補完軸%0を追加,,ajouter l'axe %0,Achse %0 hinzufügen,,,,新增參數軸 %0,idagdag ang aksis %0
,axes.undo.delete,delete axis %0,删除参数轴 %0,補完軸%0を削除,,supprimer l'axe %0,Achse %0 entfernen,,,,刪除參數軸 %0,burahin ang aksis %0
,axes.undo.edit,edit axis %0,编辑参数轴 %0,補完軸%0を編集,,éditer l'axe %0,Achse %0 bearbeiten,,,,編輯參數軸 %0,i-edit ang aksis %0
,background-image.labels.colorize,Colorize,填色,彩色,,Coloriser,Färbung,Colorear,,,填色,Kulayan
,background-image.labels.opacity,Opacity,透明度,透明度,,Transparence,Transparenz,Opacidad,,,透明度,Kadiliman
WIP,backgroundImage.labels.color,Color,颜色,カラー,,Coleur,Farbe,Color,,,顏色,Kulay
,canvas.clean-view-and-hand-tool,Clean View and Hand Tool,预览与拖拽工具,塗りのプレビューと手のひらツール,,Prévisualisation et outil de déplacement,Ungehinderte Sicht und Hand Werkzeug,,Schone weergave en Hand gereedschap,,預覽及拖曳工具,Malinis na Pananaw at Kagamitan sa Kamay
,cross-axis-mapping.axis-participates,"When checked, this axis participates in the mapping",选中后，该参数轴参与映射,チェックすると、この補完軸がマッピング内で有効になります,,"Si coché, l'axe participera au mapping","Wenn markiert, dann ist diese Achse teil des Mappings",,,,勾選後，此參數軸參與對應,"Kapag nasuri, ang aksis na ito ay nakikilahok sa pagmamapa"
,cross-axis-mapping.delete,Delete cross-axis mapping,删除跨轴映射,交差補完軸マッピングを削除,,,Achsübergreifendes Mapping entfernen,,,,刪除跨軸對應,Burahin ang cross-axis mapping
,cross-axis-mapping.description,Description,描述,説明,,-,Bezeichnung,,,,說明,Paglalarawan
,cross-axis-mapping.groupDescription,Group description,分组描述,グループ説明,,Description de groupe,Gruppen Bezeichnung,,,,群組說明,Paglalarawan ng grupo
,cross-axis-mapping.header.inputLocation,Input Location,输入位置,入力ロケーション,,Localisation d'entrée ,-,,,,輸入位置,Lokasyon ng Pag-input
,cross-axis-mapping.header.outputLocation,Output Location,输出位置,出力ロケーション,,Localisation de sortie,-,,,,輸出位置,Lokasyon ng Paglabas
,cross-axis-mapping.new,New cross-axis mapping,新建跨轴映射,新しい交差補完軸マッピングを追加,,,Neues achsübergreifendes Mapping erstellen,,,,新增跨軸對應,Bagong pagmamapa ng cross-axis
,cross-axis-mapping.title,Cross-axis mapping,跨轴映射,交差補完軸マッピング,,,Achsübergreifendes Mapping,,,,跨軸對應,Pagmamapa ng cross-axis
,cross-axis-mapping.undo.add,add cross-axis mapping,添加跨轴映射,交差補完軸マッピングを追加,,,achsübergreifendes Mapping hinzufügen,,,,新增跨軸對應,magdagdag ng cross-axis mapping
,cross-axis-mapping.undo.delete,delete cross-axis mapping,删除跨轴映射,交差補完軸マッピングを削除,,,achsübergreifendes Mapping entfernen,,,,刪除跨軸對應,burahin ang cross-axis mapping
,cross-axis-mapping.undo.reorder,reorder cross-axis mapping,将跨轴映射重新排序,交差補完軸マッピングの並べ替え,,,achsübergreifendes Mapping umsortieren,,,,重新排序跨軸對應,muling ayusin ang cross-axis mapping
,designspace-navigation.edit-all-compatible-sources,Edit all compatible sources,编辑所有匹配的源,全ての互換性があるソースを編集,,Éditer toutes les sources compatibles,Bearbeite alle kompatiblen Sourcen,,Wijzig alle compatibele sources,,編輯所有相容的源,I-edit ang lahat ng katugmang mapagkukunan
,development-status-definitions.add,add status definition %0,添加状态标签 %0,ステータスラベル%0を追加,,Ajouter un statut %0,Status-Definition %0 hinzufügen,,,,加入狀態標籤 %0,magdagdag ng kahulugan ng katayuan %0
,development-status-definitions.button.new,New status definition,新的标签,新しいステータスラベルを定義,,Nouveau statut,Neue Status-Definition,,,,新增狀態標籤,Bagong kahulugan ng katayuan
,development-status-definitions.dialog.cannot-edit-status-definition.title,Can’t edit status definition value,无法编辑标签,ステータスラベルの値を編集できませんでした。,,Le statut n'est pas éditable,Status-Definition kann nicht bearbeitet werden,,,,無法編輯狀態標籤,Hindi ma-edit ang value ng kahulugan ng status
,development-status-definitions.label.is-default,Is Default,设为默认,デフォルト,,Est défaut,Ist Default,,,,設為預設,Ay Default
,development-status-definitions.title,Status definitions,开发状态颜色标签设置,ステータスラベルの定義,,Définition des statuts,Status-Definitionen,,Statusdefinities,,開發狀態顏色標籤設定,Mga kahulugan ng katayuan
,development-status-definitions.tooltip.color,Specify the color for this status definition,指定标签颜色,このステータスラベルにカラーを指定,,Définir la couleur pour ce statut,Definiere die Farbe für die Status-Definition,,,,指定狀態標籤顏色,Tukuyin ang kulay para sa kahulugan ng katayuang ito
,development-status-definitions.tooltip.delete,Delete status definition,删除标签,ステータスラベルを削除,,Supprimer le statut,Status-Definition entfernen,,,,刪除狀態標籤,Burahin ang kahulugan ng katayuan
,development-status-definitions.tooltip.is-default,"If checked, this status will be used as a fallback when a source status is not set",选中后，未设置开发状态的源会默认使用该标签,チェックすると、ソースにステータスラベルが設定されていなかった場合このステータスラベルがフォールバックとして使用されます。,,"Si coché, ce statut sera utilisé comme valeur de défault quand le status d'une source n'est pas définit","Wenn ausgewählt, wird diese Status-Definition als Default benutzt",,,,勾選後，未設定開發狀態的源會預設使用此標籤,"Kung may tsek, gagamitin ang status na ito bilang fallback kapag hindi nakatakda ang status ng pinagmulan"
,development-status-definitions.undo.change,change status definition,更改状态标签,ステータスラベルの定義を変更,,Changer le statut,Status-Definition ändern,,,,變更狀態標籤,kahulugan ng pagbabago ng katayuan
,development-status-definitions.undo.change-is-default,change status definition isDefault,更改状态标签默认设置,デフォルトのステータスラベルの定義を変更,,,Ist Default' ändern von Status-Definition,,,,變更狀態標籤預設設定,baguhin ang kahulugan ng katayuan ayDefault
,development-status-definitions.undo.delete,delete status definition %0,删除状态标签 %0,ステータスラベル%0を削除,,Supprimer le status %0,Status-Definition %0 entfernen,,,,變更狀態標籤 %0,burahin ang kahulugan ng katayuan %0
,development-status-definitions.warning.positive-number,Value must be a positive number.,数值必须为正数。,値は正の数値である必要があります。,,La valeur doit être un nombre positif.,Wert muss eine positive Nummer sein.,,,,數值必須為正數。,Dapat positibong numero ang halaga.
,dialog.add,Add,添加,追加,,Ajouter,Hinzufügen,,Voeg toe,,新增,Idagdag
,dialog.cancel,Cancel,取消,キャンセル,,Annuler,Abbrechen,,Annuleren,,取消,Kanselahin
,dialog.cant-create-glyph.title,Can’t create glyph “%0”,无法添加字形 “%0”,グリフ“%0”を作成できませんでした。,,Ne peut pas créer le glyphe «%0»,Kann Glyphen “%0” nicht erstellen,,,,無法建立字形「%0」,Hindi makagawa ng glyph na “%0”
,dialog.cant-edit-glyph.content,The font is read-only.,该字体为只读文件,このフォントは読み取り専用です。,,La fonte est en lecture seule,Der Font ist schreibgeschützt.,,,,此字型檔為唯讀。,Read-only ang font.
,dialog.cant-edit-glyph.content.location-not-at-source,The location is not at a source.,当前位置不是一个源。,現在の補完軸の値はソースと異なります。,,La localisation n'est pas sur une source,Die Location ist nicht bei einer Source.,,,,目前位置不是一個源。,Ang lokasyon ay wala sa isang pinagmumulan.
,dialog.cant-edit-glyph.content.location-not-at-source-for-glyphs,The location is not at a source for the following glyphs: %0,以下字形的当前位置不是一个源：%0,,,,,,,,以下字形的目前位置不是一個源：%0,Ang lokasyon ay wala sa pinagmulan para sa mga sumusunod na glyph: %0
,dialog.cant-edit-glyph.content.locked-glyph,The glyph is locked.,该字形已被锁定。,このグリフはロックされています。,,Le glyphe est vérouillé,Der Glyph ist gesperrt.,,,,此字形已鎖定。,Naka-lock ang gliph.
,dialog.cant-edit-kerning.title,Can’t edit kerning,无法编辑字偶距,,,,,,,,無法編輯字偶距,Hindi ma-edit ang kerning
,dialog.cant-edit-sidebearings.title,Can’t edit sidebearings,无法编辑字边距,,,,,,,,無法編輯字邊距,Hindi ma-edit ang mga sidebearing
,dialog.cant-edit-glyph.title,Can’t edit glyph “%0”,无法编辑字形 “%0”,グリフ“%0”を編集できませんでした。,,Ne peut pas éditer le glyphe «%0»,Kann Glyphen “%0” nicht bearbeiten,,,,無法編輯字形「%0」,Hindi ma-edit ang gliph na “%0”
,dialog.create,Create,创建,作成,,Créer,Erstellen,,Creëer,,建立,Gumawa
,dialog.create-new-glyph.body,"Click ""Create"" if you want to create a new glyph named ""%0""%1.","如果你想创建一个新的字形 ""%0""%1，请点击 ""创建""。",グリフ名“%0”%1を作成する場合、“作成”をクリックしてください。,,"Cliquez «Créer» si vous voulez créer un nouveau glyphe nommé  ""%0""%1.","Klicke ""Erstellen"" um einen neuen Glyphen hinzuzufügen mit dem Namen ""%0""%1.",,"Klik ""Creëer"" om een nieuwe glyph ""%0"" te maken%1.",,如果您想建立一個新的字形「%0」%1，請點選「建立」。,"I-click ang ""Gumawa"" kung gusto mong lumikha ng bagong gliph na pinangalanang ""%0""%1."
Note the leading space!,dialog.create-new-glyph.body.2," for character ""%0"" (%1)","为字符 ""%0"" (%1)",文字“%0”(%1),, pour le caractère «%0» (%1)," für das Zeichen ""%0"" (%1)",," voor karakter ""%0"" (%1)",,為字元「%0」（%1）,"para sa karakter na ""%0"" (%1)"
,dialog.create-new-glyph.title,"Create a new glyph ""%0""?","创建新字形 ""%0""？",新しいグリフ“%0”を作成しますか？,,Créer un nouveau glyphe «%0» ?,"Einen neuen Glyphen ""%0"" erstellen?",,"Creëer een nieuwe glyph ""%0""?",,建立新的字形「%0」嗎？,"Gumawa ng bagong gliph na ""%0""?"
,dialog.delete,Delete,删除,削除,,Supprimer,Entfernen,,,,刪除,Burahin
,dialog.delete-current-glyph.title,"Are you sure you want to delete glyph ""%0"" from the font project?","你确定要将字形 ""%0"" 从当前项目中删除吗？",フォントプロジェクトからグリフ“%0”を削除しますか？,,Êtes vous sur de vouloir supprimer le glyph «%0» de la fonte ?,"Bist du sicher, dass du den Glyphen ""%0"" entfernen willst vom Font-Projekt?",,,,您確定要將字形「%0」自目前專案中刪除嗎？,"Sigurado ka bang gusto mong burahin ang glyph na ""%0"" mula sa font project?"
,dialog.edit,Edit,编辑,編集,,Édition,Bearbeiten,,Wijzig,,編輯,I-edit
,dialog.find-glyphs-that-use.button.add-to-text,Add to text,添加至文本,テキストに追加,,Ajouter au texte,Zum Text hinzufügen,,,,加入文字欄位,Idagdag sa teksto
,dialog.find-glyphs-that-use.button.copy-names,Copy names,复制名称,名称をコピー,,Copier les noms,Namen kopieren,,,,複製名稱,Kopyahin ang mga pangalan
,dialog.find-glyphs-that-use.title,Glyphs that use glyph '%0' as a component,搜索使用 ”%0“ 作为部件的字形,グリフ“%0”をコンポーネントとして使用しているグリフ,,Glyphes qui utilisent le glyphe %0 comme composant,"Glyphen, die '%0' als Komponente nutzen",,,,搜尋使用「%0」作為部件的字形,Mga glyph na gumagamit ng glyph na '%0' bilang bahagi
,dialog.glyphs.search,Search glyphs,搜索字形,グリフを検索,,Chercher des glyphes,Glyphen suchen,,Zoek glyphs,,搜尋字形,Maghanap ng mga glyph
,dialog.okay,Okay,确认,了解,,-,-,,,,確定,Sige
,dialog.paste-whole-glyph.content.add,Add to the current glyph (match layers),添加至当前字形（对应图层）,現在のグリフに追加する（レイヤーを合わせる）,,,Zum aktuellen Glyphen hinzufügen (match Layer),,,,加入目前字形（對應圖層）,Idagdag sa kasalukuyang glyph (itugma ang mga layer)
,dialog.paste-whole-glyph.content.question,What would you like to do with the glyph on the clipboard?,你想如何处理剪切板中的字形？,クリップボードのグリフで何を行いますか？,,Que voulez vous faire avec le glyphe dans le presse papier ?,Was willst du mit dem Glyphen in der Zwischenablage machen?,,,,您想如何處理剪貼簿中的字形？,Ano ang gusto mong gawin sa glyph na nasa clipboard?
,dialog.paste-whole-glyph.content.replace,Replace the current glyph,替换当前字形,現在のグリフを置き換える,,Remplacer le glyphe actuel,Den aktuellen Glyphen ersetzten,,,,取代目前字形,Palitan ang kasalukuyang gliph
,dialog.paste-whole-glyph.title,You are about to paste an entire glyph,你即将粘贴整个字形,グリフ全体をペースト,,Vous êtes sur le point de coller un glyphe en entier,Du bist dabei einen gesamten Glyphen zu übertragen,,,,您即將貼上整個字形,Ididikit mo na ang isang buong glyph
,dialog.replace,Replace,替换,置き換え,,Remplacer,Ersetzen,,Vervang,,取代,Palitan
,dialog.yes,Yes,确认,はい,,Oui,Ja,,,,確定,Oo
,edit-tools-knife.undo.slice-glyph,slice glyph,切割字形,グリフのスライス,,Couper le glyphe,Glyph schneiden,,,,切割字形,hiwa ng glipo
,edit-tools-pen.undo.add-points,add point(s),添加节点,ポイントの追加,,Ajouter un ou des point(s),Punkt(e) hinzufügen,,,,新增節點,magdagdag ng puntos
